"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-06-30,"East Village","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","San Marino",5321,6343,0.00650587115201523,-0.000157629255989912,-0.0286370597243492,1071
2016-06-30,"Blue Ridge-Rugby Ave","VA","Charlottesville","Albemarle","Charlottesville",5322,1844,0.0182219768083932,0.0616004605641911,0.128518971848225,637
2016-06-30,"Elmwood","NY","Syracuse","Onondaga","Syracuse",5323,1057,-0.00470809792843691,0.0282101167315175,0.147665580890337,687
2016-06-30,"Trilogy","AZ","Phoenix","Maricopa","Gilbert",5324,1564,0.0051413881748072,0.0116429495472186,0.00128040973111396,2078
2016-06-30,"West End","GA","Augusta","Richmond","Augusta",5325,700,-0.00284900284900285,-0.00284900284900285,-0.0140845070422535,501
2016-06-30,"Pleasant Grove","OH","Youngstown","Mahoning","Youngstown",5326,654,0.00153139356814701,0.013953488372093,-0.0238805970149254,860
2016-06-30,"Westcliff","TX","Dallas-Fort Worth","Tarrant","Fort Worth",5327,1569,-0.000636942675159236,-0.0248601615910503,-0.0409535452322738,699
2016-06-30,"Cottage Grove Heights","IL","Chicago","Cook","Chicago",5328,1331,0.00452830188679245,0.0333850931677019,0.0341880341880342,873
2016-06-30,"Washington Weatley","MO","Kansas City","Jackson","Kansas City",5329,675,-0.0203193033381713,-0.0452616690240453,-0.0131578947368421,980
2016-06-30,"Elmhurst Park","CA","San Francisco","Alameda","Oakland",5330,2215,0.0169880624426079,0.044811320754717,0.196004319654428,523
2016-06-30,"Kenilworth","PA","Philadelphia","Chester","North Coventry Township",5331,1682,0.000594883997620464,0.00718562874251497,0.00537955768081291,680
2016-06-30,"Moorland-Rimrock","WI","Madison","Dane","Madison",5332,1337,-0.00816023738872404,-0.0255102040816327,-0.0290486564996369,1045
2016-06-30,"Warrenton-Harmitage Hills-Pinehurst","KY","Lexington","Fayette","Lexington",5333,981,-0.0050709939148073,-0.00304878048780488,0.0293809024134313,1135
2016-06-30,"Timberleaf","FL","Orlando","Orange","Orlando",5334,1096,0.00091324200913242,0.0157553290083411,0.104838709677419,524
2016-06-30,"Peachtree Battle Alliance","GA","Atlanta","Fulton","Atlanta",5335,7071,0.0178494314092414,0.0330168005843682,0.0742935278030994,546
2016-06-30,"South East Ravenswood","IL","Chicago","Cook","Chicago",5336,1856,-0.00695559122525415,-0.0174695606140815,-0.0282722513089005,626
2016-06-30,"South Hyde Park","MO","Kansas City","Jackson","Kansas City",5337,1103,0.000907441016333938,0.0184672206832872,0.159831756046267,790
